time,open,high,low,close,ATR Trailing Stoploss,%K,%D,RSI,EMA of RSI
1697720400,149.822,149.93,149.768,149.924,149.67189639629817,72.55604915179639,67.05324895867456,61.23552595339295,56.63614292808417
1697727600,149.924,149.964,149.675,149.74,149.67189639629817,61.10995259931661,65.84856531191761,48.405583690282995,55.139677612120316
1697734800,149.74,149.864,149.696,149.854,149.67189639629817,60.677985677988545,64.78132914303383,54.73361698018272,55.06584840631348
1697742000,149.854,149.859,149.776,149.799,149.67189639629817,43.806306306308564,55.19808152787122,51.45467726774019,54.40927183566379
1697749200,149.799,149.842,149.752,149.823,149.67189639629817,53.15315315315547,52.54581504581751,52.783914498986704,54.113752319904314
1697756400,149.823,149.862,149.76,149.848,149.67189639629817,52.47747747747976,49.81231231231459,54.19099647369208,54.12779671150209
1697763600,149.848,149.942,149.825,149.85,149.68945636091118,58.22072072072177,54.61711711711899,54.30830817422883,54.160616977452406
1697770800,149.85,149.88,149.816,149.86,149.68945636091118,62.10371270925071,57.600636969150735,54.9297989238434,54.300468240432586
1697778000,149.86,149.955,149.844,149.896,149.72849207098315,67.32363851740878,62.54935731579374,57.187444510367314,54.825373016784354
1697785200,149.896,149.994,149.65,149.95,149.72849207098315,75.89791046377341,68.44175389681095,60.39239138092168,55.837558173900234
1697792400,149.95,149.974,149.884,149.94,149.72849207098315,82.66073871408709,75.29409589842307,59.5040354099409,56.5041903986349
1697799600,149.94,149.992,149.918,149.968,149.72956394034338,87.9844961240285,82.18104843396299,61.223965925444126,57.3623314035093
1697806800,149.968,149.98,149.856,149.898,149.72956394034338,82.94573643410665,84.5303237574074,54.94157507929588,56.922193890015954
1697814000,149.898,149.9,149.796,149.852,149.72956394034338,74.41860465116136,81.78294573643215,51.221910804299625,55.88577878352208
1697821200,149.852,149.886,149.777,149.856,149.72956394034338,63.565891472867094,73.64341085271168,51.529215734355276,55.093676410946294
1697828400,149.856,149.89,149.835,149.876,149.72956394034338,61.43410852713149,66.47286821705329,53.11955987146033,54.734746131039756
1698008400,149.876,149.883,149.778,149.864,149.72956394034338,62.59689922480597,62.53229974160151,52.01677593906408,54.24056973249873
1698015600,149.864,149.896,149.78,149.861,149.72956394034338,63.081395348836544,62.37080103359133,51.72765241889338,53.78367567547957
1698022800,149.861,149.923,149.849,149.921,149.72956394034338,67.44186046511449,64.37338501291899,56.88878413528251,54.348240849989196
1698030000,149.921,149.943,149.905,149.938,149.76428542308952,74.61240310077196,68.37855297157431,58.25078441643836,55.05779422570723
1698037200,149.938,149.964,149.908,149.934,149.79862833847162,81.68604651162552,74.58010335917065,57.78816740219873,55.554225712342046
1698044400,149.934,149.952,149.866,149.94,149.79862833847162,83.52713178294391,79.94186046511379,58.32284723984757,56.05761144461578
1698051600,149.94,149.994,149.868,149.972,149.81024213662184,86.82170542635679,84.01162790697539,61.14930077995649,56.98337314195045
1698058800,149.972,149.976,149.878,149.942,149.81024213662184,84.64794770121317,84.99892830350461,57.230718524264866,57.02834502964398
1698066000,149.942,149.952,149.849,149.864,149.81024213662184,69.91122780695606,80.460293644842,48.52404091433341,55.48210791776933
1698073200,149.864,149.871,149.675,149.676,149.81024213662184,38.81417062729738,64.45778204515553,34.787113818601526,51.71938171792064
1698080400,149.676,149.732,149.56,149.564,149.81024213662184,13.775768169537736,40.83372220126372,29.44004306450283,47.66859287184467
1698087600,149.564,149.724,149.558,149.708,149.81024213662184,11.879602778253805,21.48984719169629,41.82191028696651,46.6055596745941
1698094800,149.708,149.72,149.646,149.692,149.81024213662184,22.01975788835855,15.891709612050017,40.96180989213744,45.57942335051107
1698102000,149.692,149.792,149.665,149.682,149.81024213662184,31.192660550459394,21.697340405690568,40.4025435431335,44.63817247644242
1698109200,149.682,149.703,149.5,149.587,149.81024213662184,25.595215986331084,26.269211475049662,35.450642569917434,42.96771249343788
1698116400,149.587,149.666,149.522,149.654,149.81024213662184,25.741930691229054,27.50993574267316,40.94776563483388,42.600449428237155
1698123600,149.654,149.754,149.404,149.46,149.78979370929747,19.42565017498079,23.587598950846964,32.35556929419283,40.737743949320006
1698130800,149.46,149.554,149.323,149.518,149.76183496743795,23.242239108049954,22.803273324753253,36.63636972647459,39.99203954516629
1698138000,149.518,149.8,149.518,149.794,149.6404679739504,36.248789646956666,26.305559643329122,52.153431895259416,42.20320179063777
1698145200,149.794,149.846,149.724,149.806,149.54537248213006,57.07898658718401,38.856671780730196,52.69583933447835,44.11095407133606
1698152400,149.806,149.932,149.794,149.876,149.5690331999644,75.62064041616289,56.31613888343451,55.84068035576521,46.243631577595906
1698159600,149.876,149.925,149.747,149.798,149.5690331999644,77.3949579088985,70.03152830408179,51.71498634058199,47.238423352684286
1698166800,149.798,149.91,149.754,149.904,149.5690331999644,85.20168544428624,79.4057612564492,56.426541618664764,48.90899031013528
1698174000,149.904,149.921,149.866,149.907,149.61767299838178,88.93796723411496,83.84487019576655,56.55574810850432,50.29930990983874
1698181200,149.907,149.907,149.832,149.862,149.63433839870544,93.2676518883434,89.13576818891484,53.97054287589049,50.96680681275724
1698188400,149.862,149.926,149.832,149.886,149.67027071896433,92.2824302134665,91.49601644530827,55.14810144529331,51.72704220049107
1698195600,149.886,149.892,149.796,149.804,149.67027071896433,86.64477285167055,90.7316183178268,50.403550758872925,51.486407392924136
1698202800,149.804,149.868,149.802,149.844,149.67027071896433,85.65955117679363,88.1955847473102,52.548161093453075,51.67945352029303
1698210000,149.844,149.894,149.822,149.892,149.68857060810976,85.9879584017526,86.09742747673891,55.05947981233783,52.29400375521027
1698217200,149.892,149.925,149.869,149.91,149.73825648648778,91.78981937602725,87.81244298485781,55.99989249000067,52.96780170699034
1698224400,149.91,149.946,149.898,149.93,149.77740518919023,95.75038590924032,91.17605456234003,57.074712556812614,53.71451277059439
1698231600,149.93,149.942,149.904,149.922,149.7919241513522,96.07060853046153,94.53693793857634,56.48038705276964,54.21739900371716
1698238800,149.922,149.946,149.88,149.926,149.79953932108174,94.27176535230615,95.36425326400264,56.72304361018436,54.67297075034756
1698246000,149.926,149.98,149.909,149.969,149.8344314568654,93.55416143751846,94.63217844009534,59.34720513664471,55.522831547856136
1698253200,149.969,150.05,149.861,150.014,149.8579451654923,91.46292427641906,93.09628368874787,61.94762998192859,56.69097671768749
1698260400,150.014,150.316,149.997,150.216,150.03475613239385,88.53472917740736,91.18393829711495,70.93523934852682,59.28084265056737
1698267600,150.216,150.216,150.06,150.184,150.03475613239385,81.6468673968411,87.21484028355583,68.18765201608852,60.90026253520758
1698274800,150.184,150.228,150.04,150.205,150.03475613239385,78.4918788210614,82.89115846510329,69.03529014034194,62.37935846341383
1698282000,150.205,150.44,150.176,150.432,150.09030713978564,84.00899824812882,81.3825814886771,76.36596396982887,64.92237764639839
1698289200,150.432,150.48,150.38,150.432,150.1602457118285,90.13135542311763,84.21074416410262,76.36596396982887,67.00302970520393
1698296400,150.432,150.779,149.866,150.445,150.1602457118285,85.85131185699338,86.66388850941327,76.73183322085272,68.77190307168553
1698303600,150.445,150.624,150.322,150.404,150.1602457118285,73.20373953925656,83.06213560645585,72.89887544811101,69.52226168558107
1698310800,150.404,150.412,150.206,150.274,150.1602457118285,57.20595641041086,72.08700260222025,62.27639157995652,68.20483075728569
1698318000,150.274,150.528,150.169,150.192,150.1602457118285,47.28693288531091,59.232209611659435,56.667295011199194,66.10709698526996
1698325200,150.192,150.452,150.084,150.344,150.1602457118285,44.55337690631894,49.68208873401357,63.27106877209384,65.5914554919652
1698332400,150.344,150.504,150.299,150.42,150.1602457118285,49.85475671750215,47.23168883637732,66.05647187591518,65.67600392541065
1698339600,150.42,150.433,150.234,150.369,150.1602457118285,56.28177196804649,50.22996853062252,62.62433830358272,65.12115563053285
1698346800,150.369,150.44,150.331,150.397,150.1602457118285,58.206245461147326,54.78092471556531,63.73829813055066,64.86972699417245
1698354000,150.397,150.418,150.34,150.37,150.1602457118285,56.309372964227826,56.93246346447388,61.82477549879355,64.31609944955811
1698361200,150.37,150.415,150.282,150.377,150.15799656946282,56.51992004460715,57.011846156660766,62.14210363222706,63.92082748277065
1698368400,150.377,150.394,150.165,150.173,150.02781814666508,48.26579043446512,53.6983611477667,49.28463830442081,61.259702177616134
1698375600,150.173,150.252,150.144,150.174,150.02781814666508,41.10989412194224,48.63186820033817,49.33997195875537,59.09247850145963
1698382800,150.174,150.28,150.08,150.19,150.02781814666508,34.28258488499388,41.219423147133746,50.274798519164506,57.489263959224154
1698390000,150.19,150.249,150.069,150.08,150.02781814666508,30.887185104052254,35.426554703662795,44.23173721607361,55.0788045513786
1698397200,150.08,150.096,149.97,150.076,150.02781814666508,25.044855541152135,30.071541843399427,44.02450696573768,53.06893226308026
1698404400,150.076,150.145,149.725,149.878,150.02781814666508,19.56690388396302,25.166314843055805,35.22659351665811,49.82487067282168
1698411600,149.878,149.906,149.584,149.622,150.02781814666508,13.095641329894967,19.23580025167004,27.558322952482598,45.776407450941846
1698418800,149.622,149.7,149.55,149.632,150.02781814666508,10.558120253339878,14.406888489065954,28.21567964803782,42.583547850413844
1698426000,149.632,149.644,149.462,149.51,150.02781814666508,5.742445827064516,9.79873580343312,25.210078752756928,39.4247352872035
1698433200,149.51,149.738,149.496,149.642,149.99265451733208,10.535607242613152,8.945391107672515,33.467990214189015,38.341690728473594
1698613200,149.642,149.708,149.508,149.708,149.90857889109253,16.054936040099545,10.777663036592402,37.20161206301613,38.13440369839042
1698620400,149.708,149.816,149.676,149.804,149.90857889109253,26.444113595332258,17.678218959348317,42.27583266707911,38.88739078360655
1698627600,149.804,149.808,149.622,149.648,149.879863112874,26.814915518867284,23.104655051433028,37.03847752256138,38.55122473614379
1698634800,149.648,149.648,149.532,149.558,149.75029049029922,21.863933836007288,25.040987650068942,34.39136805934258,37.79488715854357
1698642000,149.558,149.666,149.412,149.445,149.70043239223938,11.206528749528724,19.961792701467765,31.36078420270293,36.62505025748163
1698649200,149.445,149.64,149.282,149.581,149.4215459137915,14.6873974473993,15.919286677645104,38.39677772701525,36.947182524669564
1698656400,149.581,149.692,149.559,149.688,149.4134524850312,25.24909513045306,17.047673775793694,43.31961481279892,38.10580657705672
1698663600,149.688,149.856,149.688,149.762,149.453662552236,42.52179084949136,27.486094475781243,46.50358739672468,39.63267581699635
